motion_feature,Group_A_mean,Group_A_std,Group_B_mean,Group_B_std,Group_C_mean,Group_C_std,Group_D_mean,Group_D_std,cohens_d_SMASH_vs_DROP,auc_SMASH_vs_DROP,cohens_d_B_vs_A,cohens_d_D_vs_C
raw_hv_ratio,1.8165,0.6071,1.7303,0.5915,1.6702,0.5785,1.8307,0.7373,0.1557,0.4501,-0.1421,0.2603
norm_hv,-0.0109,0.6310,-0.1005,0.6147,-0.1629,0.6012,0.0039,0.7663,0.1557,0.4501,-0.1421,0.2603
early_m,-0.0927,0.1119,-0.0608,0.1241,-0.0333,0.1329,-0.0979,0.1081,-0.3181,0.5981,0.2777,-0.5025
pre_impact_vel,2.1748,0.5287,2.2848,0.4701,2.4480,0.6717,2.1120,0.6449,-0.2955,0.5803,0.2118,-0.5025
early_post_vel,2.1668,0.5453,2.4473,0.4771,2.5733,0.5930,2.0876,0.5626,-0.4235,0.6122,0.5249,-0.8246
late_post_vel,2.3778,0.4219,2.5367,0.3965,2.6306,0.4253,2.2352,0.3150,-0.3223,0.5866,0.3797,-0.9726
vel_decay_ratio,1.1444,0.2544,1.0584,0.1746,1.0576,0.2091,1.1275,0.2656,0.2349,0.4287,-0.3566,0.3141
impact_delta,2.2629,0.7817,2.1907,0.7270,2.4559,0.8103,2.0121,1.0011,-0.1405,0.5654,-0.0933,-0.5183
total_motion,6.2913,0.9057,6.6899,1.0359,7.0880,1.0039,6.1347,0.9041,-0.5126,0.6441,0.4249,-0.9651
